TITLE,PRICE,LOCATION,URL,BEDROOMS,BATHROOMS,SQUARE FEET,TYPE,PARKING INFO,PET FRIENDLY,ADDRESS,SOURCE
House for rent,1000,"Westridge, Edmonton",https://www.kijiji.ca/v-apartments-condos/edmonton/house-for-rent/1728950837,2,1,1200 sqft,House,2,Yes,"Edmonton, AB, T5T1C4",Kijiji
super quiet clean furnished room For rent Brampton,730,"Northwood Park, Mississauga / Peel Region",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/super-quiet-clean-furnished-room-for-rent-brampton/1728950827,1,1,1200 sqft,House,1,N/A,"8 Leneck Ave, Brampton, ON L6X 2A7",Kijiji
LARGE FURNISHED RENOVATED BACHELOR in BASEMENT-SEPARATE KITCHEN,950,"Bathurst Manor, North York",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-furnished-renovated-bachelor-in-basement-separate-kitchen/1728950787,0,1,600 sqft,Basement,0,N/A,"North York, ON M3H 4V8",Kijiji
2 BEDROOM T/H IN SW BARRIE--NEWLY RENOVATED--INCREDIBLE VALUE,2195,"Barrie, Barrie",https://www.kijiji.ca/v-apartments-condos/barrie/2-bedroom-t-h-in-sw-barrie-newly-renovated-incredible-value/1728190215,2,1,980 sqft,Townhouse,2,Yes,"8 Black Cherry Crescent, Barrie, ON, L4N 9L3",Kijiji
3 BEDROOM T/H--AWESOME HOME FOR AWESOME PRICE--SW BARRIE,2395,"Barrie, Barrie",https://www.kijiji.ca/v-apartments-condos/barrie/3-bedroom-t-h-awesome-home-for-awesome-price-sw-barrie/1728210388,3,2,1278 sqft,Townhouse,2,Yes,"8 Black Cherry Crescent, Barrie, ON, L4N 9L3",Kijiji
One bedroom suite for rent in Rosscarrock.,1200,"Rosscarrock, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-suite-for-rent-in-rosscarrock/1728950753,1,1,950 sqft,Basement,1,Yes,"4223 7 Ave SW, Calgary, AB T3C 0E3",Kijiji
À LOUER 2 ½ meublé et équipé Plateau-Mont-Royal,1390,"De Lorimier, Montréal",https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/a-louer-2-meuble-et-equipe-plateau-mont-royal/1722677622,0,1,338 sqft,Condo,0,N/A,"Montréal, QC H2K 3X5",Kijiji
1 BED 1 BATH APARTMENT,1499,"Corman, Hamilton",https://www.kijiji.ca/v-apartments-condos/hamilton/1-bed-1-bath-apartment/1727958355,1,1,650 sqft,Apartment,0,Yes,"132 Gailmont Drive, Hamilton, ON",Kijiji
Fully Furnished Executive 5 bedrooms with walkout basement house,3950,"Diamond Cove, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/fully-furnished-executive-5-bedrooms-with-walkout-basement-house/1726610208,5,3.5,3300 sqft,House,3,N/A,"Diamond Dr SE, Calgary, AB",Kijiji
Superbe bungalow à louer au quartier cheval blanc à Gatineau,3200,"Rivière-Blanche, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/superbe-bungalow-a-louer-au-quartier-cheval-blanc-a-gatineau/1728772064,2,2,7459 sqft,House,1,N/A,"Rue des Frères-Vachon, Gatineau, QC",Kijiji
2 bedroom Apartment,1800,"Sudbury, Sudbury",https://www.kijiji.ca/v-apartments-condos/sudbury/2-bedroom-apartment/1728949963,2,1,850 sqft,Apartment,1,N/A,"131 Adie St, Greater Sudbury, ON P3C 2C9",Kijiji
Grand condo 2chambres à louer / Large 2-bedroom condo for rent,2300,"Des Explorateurs, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/grand-condo-2chambres-a-louer-large-2-bedroom-condo-for-rent/1728123715,1,1,950 sqft,Condo,1,N/A,"325 Boulevard Wilfrid-Lavigne, Gatineau, QC",Kijiji
"Whitby, full house $2800, 3 bedroom 2 bath finished basement",2800,"Blue Grass Creek, Whitby",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/whitby-full-house-2800-3-bedroom-2-bath-finished-basement/1728950686,2,3,1400 sqft,House,3,Yes,"Kirby Crescent, Whitby, ON",Kijiji
January 1st - 1 BEDROOM FOR $1449! **,1449,"Crestview - Meadowlands, Ottawa",https://www.kijiji.ca/v-apartments-condos/ottawa/january-1st-1-bedroom-for-1449/1728947238,1,1,540 sqft,Apartment,0,Yes,"1720 Baseline Road, Ottawa, ON, K2C 0b9",Kijiji
1 BED 1 BATH - UNIT - APARTMENT BUILDING FOR RENT - 315 KING ST,1175,"Columbia, Waterloo",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/1-bed-1-bath-unit-apartment-building-for-rent-315-king-st/1728947651,1,1,500 sqft,Apartment,0,N/A,"70-315 King St N, Waterloo, ON, N2J 2Z1",Kijiji
**ALL UTILITIES INCLUDED** Renovated Detached House!!,2700,"Thorold Proper, Thorold",https://www.kijiji.ca/v-apartments-condos/st-catharines/all-utilities-included-renovated-detached-house/1728947858,3,2,N/A,House,3,N/A,"137 Sullivan Avenue, Thorold, ON, L2V 2Z3",Kijiji
2 Bedrooms Apartment for Rent - 308 Seventh Street,1999,"Collingwood, Collingwood",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/2-bedrooms-apartment-for-rent-308-seventh-street/1728946986,2,1,N/A,Apartment,0,Yes,"308 Seventh Street, Collingwood, ON, L9Y 2B3",Kijiji
1 BED 1 BATH - UNIT - APARTMENT BUILDING FOR RENT - 315 KING ST,1175,"Columbia, Waterloo",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/1-bed-1-bath-unit-apartment-building-for-rent-315-king-st/1728947642,1,1,500 sqft,Apartment,0,N/A,"75-315 King St N, Waterloo, ON, N2J 2Z1",Kijiji
Villeray Apartment à louer 3.5,1490,"Villeray, City of Montréal",https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/villeray-apartment-a-louer-3-5/1728950580,1.5,1,750 sqft,Apartment,0,N/A,"Rue de Bordeaux, Montréal, H2E 2N2",Kijiji
"2Bed 2Bath Basement Apartment, Port Elgin",1850,"Saugeen Shores, Owen Sound",https://www.kijiji.ca/v-apartments-condos/owen-sound/2bed-2bath-basement-apartment-port-elgin/1728950577,2,2,750 sqft,Basement,2,N/A,"McLean Cres, Port Elgin, ON N0H 2C3",Kijiji
Bachelor Suite Available In Steinbach! Available December 15th!,725,"Steinbach, Steinbach",https://www.kijiji.ca/v-apartments-condos/winnipeg/bachelor-suite-available-in-steinbach-available-december-15th/1728950549,0,1,350 sqft,Apartment,1,N/A,"541 Barkman Avenue, Steinbach, MB",Kijiji
BRAND NEW 1-BEDROOM WALK-OUT BASEMENT APARTMENT,2000,"Wilson Meadows, Markham / York Region",https://www.kijiji.ca/v-apartments-condos/markham-york-region/brand-new-1-bedroom-walk-out-basement-apartment/1728950548,1,1,1000 sqft,Basement,1,N/A,"Mourning Dove Ln, Pickering, L0H 1J0",Kijiji
FOR RENT – Newly Renovated 3 Bedroom Main Floor,1700,"Mount Royal, Saskatoon",https://www.kijiji.ca/v-apartments-condos/saskatoon/for-rent-newly-renovated-3-bedroom-main-floor/1728950488,3,1,970 sqft,House,3,N/A,"Witney Ave N, Saskatoon, SK S7L 3M3",Kijiji
1 Bed 1 Bath Apartment,1794,"Williamsville, Kingston",https://www.kijiji.ca/v-apartments-condos/kingston-on/1-bed-1-bath-apartment/1728950479,0,1,300 sqft,Apartment,0,Yes,"575 Princess Street, Kingston, ON",Kijiji
PRIME LOCATION - All Inclusive 1 bedroom - Private Yard,1500,"Rosemount, Kitchener",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/prime-location-all-inclusive-1-bedroom-private-yard/1728026717,1,1,700 sqft,Apartment,1,N/A,"Kitchener, ON N2B 2B5",Kijiji
PRIME OSHAWA - Lovely Studio Apartment,1275,"O'Neill, Oshawa",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/prime-oshawa-lovely-studio-apartment/1728841600,0,1,600 sqft,Apartment,1,N/A,"Oshawa, ON L1G 4V4",Kijiji
PRIME LOCATION - All Inclusive 1 Bdrm - Walk to LRT,1225,"Kw Hospital, Kitchener",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/prime-location-all-inclusive-1-bdrm-walk-to-lrt/1728105400,1,1,650 sqft,Apartment,1,N/A,"15 Gildner Street, Kitchener, ON",Kijiji
"4 bed, 2.5 bath semi in East-end of Kingston- 479 Fieldstone",2600,"Greenwood - St Lawrence South, Kingston",https://www.kijiji.ca/v-apartments-condos/kingston-on/4-bed-2-5-bath-semi-in-east-end-of-kingston-479-fieldstone/1728947361,4,2.5,N/A,Townhouse,2,N/A,"479 Fieldstone Dr, Kingston, ON, K7K 7E4",Kijiji
Spacious 2-Bedroom Apartment in Sydney,1595,"Shipyard, Sydney",https://www.kijiji.ca/v-apartments-condos/cape-breton/spacious-2-bedroom-apartment-in-sydney/1728947727,2,1,N/A,Apartment,1,N/A,"28 Bayview Street, Sydney, NS, B1S 2C5",Kijiji
1 BED 1 BATH - UNIT - APARTMENT BUILDING FOR RENT - 315 KING ST,1175,"Columbia, Waterloo",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/1-bed-1-bath-unit-apartment-building-for-rent-315-king-st/1728947650,1,1,500 sqft,Apartment,0,N/A,"71-315 King St N, Waterloo, ON, N2J 2Z1",Kijiji
Parkdale 2 Bedroom Apartment for Rent - 90 Jameson Avenue,2399,"South Parkdale, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/parkdale-2-bedroom-apartment-for-rent-90-jameson-avenue/1728946958,2,1,917 sqft,Apartment,0,Yes,"90 Jameson Avenue, Toronto, ON, M6K 2X6",Kijiji
2 BED 1 BATH - MULTI UNIT - ABOVE GROUND FOR RENT - 59 BOWHILL C,2600,"Pleasant View, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-1-bath-multi-unit-above-ground-for-rent-59-bowhill-c/1728947635,2,1,700 sqft,Duplex/Triplex,1,N/A,"2-59 Bowhill Crescent, Toronto, ON, M2H 3S1",Kijiji
2 Bedroom Apartment for Rent - 263 Millard Street,1999,Orillia,https://www.kijiji.ca/v-apartments-condos/barrie/2-bedroom-apartment-for-rent-263-millard-street/1728055826,2,1,846 sqft,Apartment,0,N/A,"263 Millard Street, Orillia, ON, L3V 4H2",Kijiji
1 Bedroom Apartment for Rent - 401 West Street North,1906,Orillia,https://www.kijiji.ca/v-apartments-condos/barrie/1-bedroom-apartment-for-rent-401-west-street-north/1727727419,1,1,720 sqft,Apartment,0,N/A,"401 West Street North, Orillia, ON, L3V 7A7",Kijiji
House for RENT,2199,"Roseland, Windsor",https://www.kijiji.ca/v-apartments-condos/windsor-area-on/house-for-rent/1727942017,3,1,1200 sqft,House,3,N/A,"Silverdale Drive, Windsor, ON",Kijiji
"Split-Level 2 Bedroom, Etobicoke! Dundas St. West and Islington",2000,"Islington, City of Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/split-level-2-bedroom-etobicoke-dundas-st-west-and-islington/1726567165,2,1,N/A,Apartment,0,Yes,"5062-5078 Dundas Street West, Toronto, ON, M9A 1B9",Kijiji
4.5 Condo Appartement à louer-GRIFFINTOWN-tout inclus-WillRich,2325,City of Montréal,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-5-condo-appartement-a-louer-griffintown-tout-inclus-willrich/1701307643,2,1,N/A,Apartment,0,Yes,"1705 rue William, Montreal, QC, H3J 1R3",Kijiji
1 Bedroom Apartment for Rent in Etobicoke Kingsway Neighbourhood,1695,Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-in-etobicoke-kingsway-neighbourhood/1709561600,1,1,N/A,Apartment,0,Yes,"12 Bexhill Court, Toronto, ON, M9A 3A8",Kijiji
Two bedroom unit in Alliston,1900,"New Tecumseth, New Tecumseth",https://www.kijiji.ca/v-apartments-condos/barrie/two-bedroom-unit-in-alliston/1727907471,2,1,750 sqft,Apartment,1,N/A,"118 Victoria Street East, Alliston, ON",Kijiji
1 Bdrm. Apt. for Rent in North St. Catharines - Lake & Arran Dr.,1595,St. Catharines,https://www.kijiji.ca/v-apartments-condos/st-catharines/1-bdrm-apt-for-rent-in-north-st-catharines-lake-arran-dr/1715096935,1,1,N/A,Apartment,0,Yes,"36 Arran Drive, St. Catharines, ON, L2N 6X5",Kijiji
Boucherville Beau 41/2 tout inclus libre ou 1er Décembre,1550,"Boucherville, Boucherville",https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/boucherville-beau-41-2-tout-inclus-libre-ou-1er-decembre/1728951022,2,1,750 sqft,Apartment,0,N/A,"453 Rue Darontal, Boucherville, QC",Kijiji
Room for rent,675,"Harvest Hills, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/room-for-rent/1728951008,1,1,200 sqft,House,1,N/A,"Harvest Oak Dr NE, Calgary, AB T3K",Kijiji
Modern 1 Bedroom Basement Apartment – North Oakville,1800,"Glenorchy, Oakville",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/modern-1-bedroom-basement-apartment-north-oakville/1728950951,1,1,1000 sqft,Basement,1,N/A,"Oakville, ON L6H 0V9",Kijiji
Modern Condo With Expansive Private Terrace!,1800,Kitchener / Waterloo,https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/modern-condo-with-expansive-private-terrace/1726532052,1,1,707 sqft,Condo,1,Yes,"55 Duke Street West, Kitchener, ON, N2H 0C9",Kijiji
Basement for rent in Taradale Ne,1100,"Taradale, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/basement-for-rent-in-taradale-ne/1728950943,2,1,1300 sqft,Basement,1,N/A,"101 Taracove Estate Dr NE, Calgary, AB T3J 4R1",Kijiji
Luxury Condo in DT Toronto for Rent,3600,"Yorkville, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-condo-in-dt-toronto-for-rent/1728950852,2,2,900 sqft,Condo,1,Yes,"Davenport Road, Toronto, ON",Kijiji
Basement Apartment for Rent with Parking,1500,"Downtown, Mississauga / Peel Region",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-apartment-for-rent-with-parking/1728950851,1.5,1,800 sqft,Basement,1,Yes,"18 Wellington St W, Brampton, ON L6Y 1K5",Kijiji
Appartement à louer gatineau 2 chambres,1700,"Du Plateau, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/appartement-a-louer-gatineau-2-chambres/1728950850,2,1,1250 sqft,Apartment,1,N/A,"Gatineau, QC J9J 4A6",Kijiji
House for rent,1000,"Westridge, Edmonton",https://www.kijiji.ca/v-apartments-condos/edmonton/house-for-rent/1728950837,2,1,1200 sqft,House,2,Yes,"Edmonton, AB, T5T1C4",Kijiji
super quiet clean furnished room For rent Brampton,730,"Northwood Park, Mississauga / Peel Region",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/super-quiet-clean-furnished-room-for-rent-brampton/1728950827,1,1,1200 sqft,House,1,N/A,"8 Leneck Ave, Brampton, ON L6X 2A7",Kijiji
LARGE FURNISHED RENOVATED BACHELOR in BASEMENT-SEPARATE KITCHEN,950,"Bathurst Manor, North York",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-furnished-renovated-bachelor-in-basement-separate-kitchen/1728950787,0,1,600 sqft,Basement,0,N/A,"North York, ON M3H 4V8",Kijiji
2 BEDROOM T/H IN SW BARRIE--NEWLY RENOVATED--INCREDIBLE VALUE,2195,"Barrie, Barrie",https://www.kijiji.ca/v-apartments-condos/barrie/2-bedroom-t-h-in-sw-barrie-newly-renovated-incredible-value/1728190215,2,1,980 sqft,Townhouse,2,Yes,"8 Black Cherry Crescent, Barrie, ON, L4N 9L3",Kijiji
3 BEDROOM T/H--AWESOME HOME FOR AWESOME PRICE--SW BARRIE,2395,"Barrie, Barrie",https://www.kijiji.ca/v-apartments-condos/barrie/3-bedroom-t-h-awesome-home-for-awesome-price-sw-barrie/1728210388,3,2,1278 sqft,Townhouse,2,Yes,"8 Black Cherry Crescent, Barrie, ON, L4N 9L3",Kijiji
One bedroom suite for rent in Rosscarrock.,1200,"Rosscarrock, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-suite-for-rent-in-rosscarrock/1728950753,1,1,950 sqft,Basement,1,Yes,"4223 7 Ave SW, Calgary, AB T3C 0E3",Kijiji
À LOUER 2 ½ meublé et équipé Plateau-Mont-Royal,1390,"De Lorimier, Montréal",https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/a-louer-2-meuble-et-equipe-plateau-mont-royal/1722677622,0,1,338 sqft,Condo,0,N/A,"Montréal, QC H2K 3X5",Kijiji
1 BED 1 BATH APARTMENT,1499,"Corman, Hamilton",https://www.kijiji.ca/v-apartments-condos/hamilton/1-bed-1-bath-apartment/1727958355,1,1,650 sqft,Apartment,0,Yes,"132 Gailmont Drive, Hamilton, ON",Kijiji
Fully Furnished Executive 5 bedrooms with walkout basement house,3950,"Diamond Cove, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/fully-furnished-executive-5-bedrooms-with-walkout-basement-house/1726610208,5,3.5,3300 sqft,House,3,N/A,"Diamond Dr SE, Calgary, AB",Kijiji
Superbe bungalow à louer au quartier cheval blanc à Gatineau,3200,"Rivière-Blanche, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/superbe-bungalow-a-louer-au-quartier-cheval-blanc-a-gatineau/1728772064,2,2,7459 sqft,House,1,N/A,"Rue des Frères-Vachon, Gatineau, QC",Kijiji
2 bedroom Apartment,1800,"Sudbury, Sudbury",https://www.kijiji.ca/v-apartments-condos/sudbury/2-bedroom-apartment/1728949963,2,1,850 sqft,Apartment,1,N/A,"131 Adie St, Greater Sudbury, ON P3C 2C9",Kijiji
Grand condo 2chambres à louer / Large 2-bedroom condo for rent,2300,"Des Explorateurs, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/grand-condo-2chambres-a-louer-large-2-bedroom-condo-for-rent/1728123715,1,1,950 sqft,Condo,1,N/A,"325 Boulevard Wilfrid-Lavigne, Gatineau, QC",Kijiji
"Whitby, full house $2800, 3 bedroom 2 bath finished basement",2800,"Blue Grass Creek, Whitby",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/whitby-full-house-2800-3-bedroom-2-bath-finished-basement/1728950686,2,3,1400 sqft,House,3,Yes,"Kirby Crescent, Whitby, ON",Kijiji
January 1st - 1 BEDROOM FOR $1449! **,1449,"Crestview - Meadowlands, Ottawa",https://www.kijiji.ca/v-apartments-condos/ottawa/january-1st-1-bedroom-for-1449/1728947238,1,1,540 sqft,Apartment,0,Yes,"1720 Baseline Road, Ottawa, ON, K2C 0b9",Kijiji
1 BED 1 BATH - UNIT - APARTMENT BUILDING FOR RENT - 315 KING ST,1175,"Columbia, Waterloo",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/1-bed-1-bath-unit-apartment-building-for-rent-315-king-st/1728947651,1,1,500 sqft,Apartment,0,N/A,"70-315 King St N, Waterloo, ON, N2J 2Z1",Kijiji
2 Bedrooms Apartment for Rent - 308 Seventh Street,1999,"Collingwood, Collingwood",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/2-bedrooms-apartment-for-rent-308-seventh-street/1728946986,2,1,N/A,Apartment,0,Yes,"308 Seventh Street, Collingwood, ON, L9Y 2B3",Kijiji
1 BED 1 BATH - UNIT - APARTMENT BUILDING FOR RENT - 315 KING ST,1175,"Columbia, Waterloo",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/1-bed-1-bath-unit-apartment-building-for-rent-315-king-st/1728947642,1,1,500 sqft,Apartment,0,N/A,"75-315 King St N, Waterloo, ON, N2J 2Z1",Kijiji
**ALL UTILITIES INCLUDED** Renovated Detached House!!,2700,"Thorold Proper, Thorold",https://www.kijiji.ca/v-apartments-condos/st-catharines/all-utilities-included-renovated-detached-house/1728947858,3,2,N/A,House,3,N/A,"137 Sullivan Avenue, Thorold, ON, L2V 2Z3",Kijiji
Villeray Apartment à louer 3.5,1490,"Villeray, City of Montréal",https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/villeray-apartment-a-louer-3-5/1728950580,1.5,1,750 sqft,Apartment,0,N/A,"Rue de Bordeaux, Montréal, H2E 2N2",Kijiji
"2Bed 2Bath Basement Apartment, Port Elgin",1850,"Saugeen Shores, Owen Sound",https://www.kijiji.ca/v-apartments-condos/owen-sound/2bed-2bath-basement-apartment-port-elgin/1728950577,2,2,750 sqft,Basement,2,N/A,"McLean Cres, Port Elgin, ON N0H 2C3",Kijiji
Bachelor Suite Available In Steinbach! Available December 15th!,725,"Steinbach, Steinbach",https://www.kijiji.ca/v-apartments-condos/winnipeg/bachelor-suite-available-in-steinbach-available-december-15th/1728950549,0,1,350 sqft,Apartment,1,N/A,"541 Barkman Avenue, Steinbach, MB",Kijiji
BRAND NEW 1-BEDROOM WALK-OUT BASEMENT APARTMENT,2000,"Wilson Meadows, Markham / York Region",https://www.kijiji.ca/v-apartments-condos/markham-york-region/brand-new-1-bedroom-walk-out-basement-apartment/1728950548,1,1,1000 sqft,Basement,1,N/A,"Mourning Dove Ln, Pickering, L0H 1J0",Kijiji
FOR RENT – Newly Renovated 3 Bedroom Main Floor,1700,"Mount Royal, Saskatoon",https://www.kijiji.ca/v-apartments-condos/saskatoon/for-rent-newly-renovated-3-bedroom-main-floor/1728950488,3,1,970 sqft,House,3,N/A,"Witney Ave N, Saskatoon, SK S7L 3M3",Kijiji
1 Bed 1 Bath Apartment,1794,"Williamsville, Kingston",https://www.kijiji.ca/v-apartments-condos/kingston-on/1-bed-1-bath-apartment/1728950479,0,1,300 sqft,Apartment,0,Yes,"575 Princess Street, Kingston, ON",Kijiji
PRIME LOCATION - All Inclusive 1 bedroom - Private Yard,1500,"Rosemount, Kitchener",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/prime-location-all-inclusive-1-bedroom-private-yard/1728026717,1,1,700 sqft,Apartment,1,N/A,"Kitchener, ON N2B 2B5",Kijiji
PRIME OSHAWA - Lovely Studio Apartment,1275,"O'Neill, Oshawa",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/prime-oshawa-lovely-studio-apartment/1728841600,0,1,600 sqft,Apartment,1,N/A,"Oshawa, ON L1G 4V4",Kijiji
PRIME LOCATION - All Inclusive 1 Bdrm - Walk to LRT,1225,"Kw Hospital, Kitchener",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/prime-location-all-inclusive-1-bdrm-walk-to-lrt/1728105400,1,1,650 sqft,Apartment,1,N/A,"15 Gildner Street, Kitchener, ON",Kijiji
"4 bed, 2.5 bath semi in East-end of Kingston- 479 Fieldstone",2600,"Greenwood - St Lawrence South, Kingston",https://www.kijiji.ca/v-apartments-condos/kingston-on/4-bed-2-5-bath-semi-in-east-end-of-kingston-479-fieldstone/1728947361,4,2.5,N/A,Townhouse,2,N/A,"479 Fieldstone Dr, Kingston, ON, K7K 7E4",Kijiji
Spacious 2-Bedroom Apartment in Sydney,1595,"Shipyard, Sydney",https://www.kijiji.ca/v-apartments-condos/cape-breton/spacious-2-bedroom-apartment-in-sydney/1728947727,2,1,N/A,Apartment,1,N/A,"28 Bayview Street, Sydney, NS, B1S 2C5",Kijiji
1 BED 1 BATH - UNIT - APARTMENT BUILDING FOR RENT - 315 KING ST,1175,"Columbia, Waterloo",https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/1-bed-1-bath-unit-apartment-building-for-rent-315-king-st/1728947650,1,1,500 sqft,Apartment,0,N/A,"71-315 King St N, Waterloo, ON, N2J 2Z1",Kijiji
Parkdale 2 Bedroom Apartment for Rent - 90 Jameson Avenue,2399,"South Parkdale, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/parkdale-2-bedroom-apartment-for-rent-90-jameson-avenue/1728946958,2,1,917 sqft,Apartment,0,Yes,"90 Jameson Avenue, Toronto, ON, M6K 2X6",Kijiji
2 BED 1 BATH - MULTI UNIT - ABOVE GROUND FOR RENT - 59 BOWHILL C,2600,"Pleasant View, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-1-bath-multi-unit-above-ground-for-rent-59-bowhill-c/1728947635,2,1,700 sqft,Duplex/Triplex,1,N/A,"2-59 Bowhill Crescent, Toronto, ON, M2H 3S1",Kijiji
